id,Player_ID,First_Name,Last_Name,AST,BLK,DREB,FG3_PCT,FG3A,FG3M,FG_PCT,FGA,FGM,FT_PCT,FTA,FTM,MIN,OREB,PF,PTS,REB,STL,Turnover,Player_Position,Players_Team_ID,Players_Team_Name,Home_Team_ID,Home_Team_Score,Visitor_Team_ID,Visitor_Team_Score
1069008,415,Iman,Shumpert,0.0,1.0,2.0,0.2,5.0,1.0,0.33299999999999996,9.0,3.0,0.0,0.0,0.0,20:08,0.0,0.0,7.0,2.0,0.0,2.0,G,26,Sacramento Kings,4,114,26,95
1069009,49,Nemanja,Bjelica,4.0,0.0,5.0,0.0,2.0,0.0,0.2,5.0,1.0,0.0,0.0,0.0,19:22,1.0,1.0,2.0,6.0,0.0,0.0,F,26,Sacramento Kings,4,114,26,95
1069010,91,Willie,Cauley-Stein,4.0,1.0,5.0,0.0,0.0,0.0,0.667,6.0,4.0,0.0,0.0,0.0,27:24,6.0,2.0,8.0,11.0,3.0,2.0,C,26,Sacramento Kings,4,114,26,95
1069011,210,Buddy,Hield,1.0,0.0,1.0,0.545,11.0,6.0,0.5,18.0,9.0,0.0,0.0,0.0,32:06,0.0,2.0,24.0,1.0,2.0,0.0,G,26,Sacramento Kings,4,114,26,95
1069012,161,De'Aaron,Fox,8.0,1.0,5.0,0.0,2.0,0.0,0.4,10.0,4.0,0.667,3.0,2.0,30:30,0.0,4.0,10.0,5.0,1.0,4.0,G,26,Sacramento Kings,4,114,26,95
1069013,53,Bogdan,Bogdanovic,2.0,0.0,1.0,0.5,2.0,1.0,0.615,13.0,8.0,0.0,0.0,0.0,27:20,0.0,2.0,17.0,1.0,1.0,2.0,G,26,Sacramento Kings,4,114,26,95
1069014,157,Yogi,Ferrell,2.0,0.0,1.0,0.33299999999999996,3.0,1.0,0.4,5.0,2.0,0.0,0.0,0.0,16:22,0.0,1.0,5.0,1.0,0.0,0.0,G,26,Sacramento Kings,4,114,26,95
1069015,24,Marvin,Bagley III,1.0,0.0,4.0,0.5,2.0,1.0,0.545,11.0,6.0,0.5,4.0,2.0,22:55,4.0,2.0,15.0,8.0,0.0,3.0,F,26,Sacramento Kings,4,114,26,95
1069016,235,Justin,Jackson,2.0,0.0,3.0,0.25,4.0,1.0,0.4,5.0,2.0,0.5,2.0,1.0,24:07,0.0,2.0,6.0,3.0,0.0,0.0,F,26,Sacramento Kings,4,114,26,95
1069017,174,Harry,Giles III,4.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.25,4.0,1.0,16:14,0.0,6.0,1.0,4.0,0.0,4.0,F-C,26,Sacramento Kings,4,114,26,95
1069018,299,Frank,Mason,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1:46,0.0,0.0,0.0,0.0,0.0,0.0,G,26,Sacramento Kings,4,114,26,95
1069019,309,Ben,McLemore,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1:46,0.0,0.0,0.0,0.0,0.0,0.0,G,26,Sacramento Kings,4,114,26,95
