SR,CANDIDATE,PARTY,CRIMINAL_RECORD,SEVERITY,FAMILY_MEMBERS IN POLITICS,PROPERTY
1,ARVIND KEJRIWAL,AAP,Y,1,0,10000
2,NARENDRA MODI,BJP,N,0,0,10123
3,SONIA GANDHI,CONGRESS,Y,4,7,66554
4,MAYAVATI,SP,Y,7,3,99879
5,AKHILESH YADAV,BSP,Y,5,8,87654
6,SMRITI IRANI,BJP,N,0,0,105795.6667
7,LALU PRASAD YADAV,RJD,,9,9,116345.6667
8,RABDI DEVI,RJD,Y,6,9,126895.6667
9,MULAYAM SINGH YADAV,BSP,Y,3,6,137445.6667
10,MANISH SISODIA,AAP,,1,0,147995.6667
11,KUMAR VISHWAS,AAP,N,0,0,158545.6667
12,NITIN GADKARI,BJP,N,0,1,169095.6667
13,RAHUL GANDHI,CONGRESS,Y,8,8,179645.6667
14,PRIYANKA WADRA,CONGRESS,Y,9,8,190195.6667
15,HEMA MALINI,BJP,,0,0,200745.6667
16,SHATRUGHNA SINHA,CONGRESS,Y,1,0,211295.6667
17,GAUTAM GAMBBHIR,BJP,N,0,0,221845.6667
18,ANANDIBEN PATEL,MINORITY,Y,1,2,232395.6667
19,YOGI ADITYANATH,BJP,,0,0,242945.6667
20,AMIT SHAH,BJP,N,0,0,253495.6667
21,KIRAN RIJIJU,TMK,Y,4,3,264045.6667
22,DEVENDRA PHADNAVIS,CONGRESS,N,0,2,274595.6667
23,SHIVRAJ CHAUHAN,CONGRESS,Y,2,4,285145.6667
24,KAMALNATH,BJP,Y,8,6,295695.6667
25,SACHIN PILOT,MINORITY,Y,3,1,306245.6667
26,VASUNDHRA RAJE,BJP,Y,2,5,316795.6667
27,ASHOK GEHLOT,CONGRESS,N,0,6,327345.6667
28,UDHHAV THAKARE,SHIVSENA,Y,4,7,337895.6667
29,RAJ THAKARE,MANSE,Y,4,7,348445.6667
30,OMAR ABDULLAH,PDP,Y,7,1,358995.6667
31,MEHBOOBA MUFTI,PDP,Y,7,2,369545.6667
32,ASASSUDIN OWAISSI,MINORITY,N,0,3,380095.6667
33,MAMATA BANERJEE,TMC,Y,1,0,390645.6667
34,NITISH KUMAR,BJP,Y,3,0,401195.6667
35,TEJASVI PRATAP ,RJD,Y,7,9,411745.6667
36,TEJ PRATAP,RJD,Y,9,9,422295.6667
37,MANOHAR LAL KHATTAR,CONGRESS,N,0,3,432845.6667
38,VIRBHADRA SINGH,CONGRESS,Y,4,3,443395.6667
39,NAVEEN PATNAIK,TMC,Y,6,2,453945.6667
40,AMRINDER SINGH,CONGRESS,N,0,4,464495.6667
41,BIPLAB KUMAR DEV,DMK,Y,6,2,475045.6667
42,MANOHAR PARRIKAR,DMK,N,0,1,485595.6667
43,LAL KRISHNA ADVANI,AIDMK,Y,4,1,496145.6667
44,PANKAJA MUNDE,BJP,Y,7,3,506695.6667
45,PRAMOD MAHAJAN,AIDMK,N,0,0,517245.6667
46,VIJAY CHAUHAN,DMK,Y,5,0,527795.6667
47,DINANATH CHAUHAN,TMC,N,0,1,538345.6667
48,MISA BHARTI,RJD,Y,9,9,548895.6667
49,RAJ MALHOTRA,CONGRESS,Y,5,4,559445.6667
50,RAHUL KHANNA,BJP,N,0,0,569995.6667
