Reviews,Label
"If you're looking for boxing in the East Valley, I highly recommend this gym. It's old school, real boxing. I tried many different gyms that were just cardio style boxing, learned nothing and got bored with the workouts. This is hard and pushes me to improve every day. Trainers are knowledgeable and attentive and push you to your limits. I genuinely look forward to my training/workojts for the first time in years!",positive
"I was really excited to try a fun workout routine that would also do some damage. I showed up with a friend and two other girls who had made a reservation like the groupon specified. Well imagine our surprise when the trainer wasn't there. We made contact with him and he said to ask another trainer to get us started and he would be there soon. You should know now, that he never showed up. Secondly, the other trainer is technically a part of anther company that shares the garage. So the poor guy was stuck with clients that didn't even pay for his services. But he was willing to keep us busy with running drills, a little weights and such, but nothing boxing related. (again not his fault) he was great. But I definitely returned my groupon because the 1on1 boxing instructor definitely didn't bother to honor his own conditions. I even called him the next day to confirm that he would be there and he said of course he would. So I mentioned that I was a part of the group from that morning when he didn't show up and he said ""oh...well you were trained by (other trainers name)."" I thought that was a poor excuse.",negative
"I was interested in taking a boxing bootcamp class, did some research and found 1on1. Their pricing is reasonable, they offer monthly memberships, and they have multiple classes a day. The workouts are tough, usually there's a combination of boxing, circuit training, and Crossfit type stuff. The regulars who go to the class I went to were fun and made it a good time. So why only 2 stars? When I started, our classes were ran by a young woman name Amy. Maybe it's just a style of training, but she always seemed completely disinterested or preoccupied with something else. Then a new trainer came, Justin, and he was much more involved and encouraging during the workouts. He listened to our feedback, modified the class occasionally to meet certain needs, showed us beginner versions of the exercises, etc. He was present and attentive. He'd throw in the occasional ""good job"" or ""you're improving"" along with the ""push harder"". Those types of details make the mentally/physically tough workouts something you keep coming back to. But something happened. Justin stopped working there and it was back to Amy. And it was worse than before, she would run the class but be on her phone the whole time. Or she'd leave the room when we were doing a timed exercise and she'd have the timer! There were also those days where she would not play any music because she didn't want to listen to the radio. I'd especially look forward to the days when she'd tell us she designed that day's workout to make us throw up and proceed to sit on her butt the entire class on her phone texting/talking. She'd usually let us know that when she was training, she'd do what we were doing but 3x as hard, blah blah blah blah. I didn't realize all of this wasn't ""normal"" until I started at another boxing gym in the Valley. When I decided to not return they had started with a new trainer for the bootcamp class. He seemed to be running the bootcamp class and some other classes at the same time, so he was stretched thin. Perhaps the same thing happened with Justin. Anyway, I didn't stay to find out.",negative
I worked out at 1 on 1 boxing for a bout 6 months and I loved it! The pricing is reasonable although they really should offer a punch card for people who do other types of fitness and won't get much out of the unlimited plan. They switch out their workouts and always keep you guessing. The workouts are challenging and I saw a significant difference in my body after only 2 months. If you've never tried boxing I highly recommend it. It's a great alternative to regular cardio/weight training. I'd still be there right now but w/o air conditioning it's way too hot. I plan to return in the fall though,positive
"This place literally KICKED my butt every. single. time. I actually dreaded/hated working up the nerve to go back, but was soooo glad every single time after class. I had the livingsocial deal (unlimited month), which is pretty great deal, considering an unlimited month is $99. Yelp offers a deal to help out as well. I like how every workout is different, and you really do see results FAST. There's a new instructor now, and I feel like the classes are more conditioning/less boxing. Kinda made me feel like buying my boxing gloves was not worth it (btw, go to sports chalet for the best deal on gloves/wraps - aside from amazon!) for new-goers: go a bit early to your first class to sign-in, wrap up, and run your 1/2 mile warm up. the gym is randomly in this little office-complex like place, in the south-east corner. you can't see the door from the street, so make sure you look at the signs for the suite #; from the entrance, make a left and head to the back corner. i recommend going to the 6pm class if you can, as there are others to work out with. don't be worried about looking like a newb - there were lots of regulars, that have been doing bootcamp for YEARS, and they were still struggling. they really work you hard!",positive
Great place to work out! Jerry has been great with the kickboxing skills! He makes sure you are safe and still getting a good workout. I leave drenched in sweat every time!,positive
"Although I wouldn't consider myself uber fit, I do enjoy exercising through different types of workouts from Bikram Yoga to resistance training and hybrid boot camp type workouts. Doing both martial arts and boot camps in the past I was expecting a challenging but not necessarily a killer workout. I was wrong! Although boot camp type workouts are often challenging, I feel the classes are often watered down a bit to the level of the overall level of the group. However, at 1 on 1 boxing, if the instructors feel like you can do more, they push you to do more. If you the 10 pound medicine ball is too light, they'll give you the 12 or 15. If you are slacking on punches, they get on you to punch harder. I haven't had a workout yet that I walked away feeling unchallenged. What I do like is that the workouts vary from class to class. Some days it's all leg work (which I hate, but usually means that's what I need to work on) to boxing drills to medicine ball work to old school skip rope, running and sit ups. A big plus for me is that there is no cursing - including the music that's played. I hate cursing and the disparaging comments that often come along with it. Being vulgar doesn't make me feel more like a fighter. My only con is this. I would like them to offer another option for their classes. It seems it's just one deal with $99 for unlimited classes. If they had a punch card type system at a reasonable price I would go for it.",positive
"When I wanted to get in ultimate shape for my wedding, I knew I need a fun, varied and one-of-a-kind workout program. I found Chris at 1on1 Boxing Fitness through one of my friends. As a fitness enthusiast, I went in confident that I could keep up and not expecting much of a challenge. Evidence to the contrary. I left my first session covered in sweat and out of breath. The workout was non-stop and totally crushed my preconceived notions! The next day, muscle I didn't even know I had were sore. After 8-weeks of boxing, my arms are tighter, stomach is flatter and my legs look fabulous. If you're looking for a challenging but extremely effective workout, I highly recommend 1on1 Boxing Fitness.",positive
"Chris and his staff are amazingly committed to every client's success. The gym is open, friendly, and the workouts are intense, but also customized for every level of fitness and ability. Don't have to want to box professionally to benefit from this one-on-one approach....even my 8 yr old son is counting the days until he's able to start training with Chris! Love this gym!",positive
"Signed up for a membership in 1990, lifetime family membership in California. I continued to pay my dues each and every month regardless if I went or not. I moved to AZ Sept 2014 and notified them of the move, went to their Gilbert facility. 24 hour Fitness sold out to LA Fitness here in AZ and did not notify me. I try to go back to the gym after being on medical and found out that I cannot go so I called 24 hour Fitness. Was told by the representative that my membership should have been transferred, went into LA Fitness and was told that was not true. I was told that since my membership was bought in California that I was not eligible for the AZ transfer even though I had notified them that I live in Arizona. This transfer was 5 months ago while I was on medical, they continued to take the payments out of my account, not notifying me of the sell to LA Fitness and now they will not let me go to LA Fitness. I called 24 hour Fitness once again, was again told that they did not transfer my LIFETIME MEMBERSHIP to Arizona but I could still go in California. Why would I want to do that - what part of living in Arizona did they not understand? They will only return this month's dues and cancelled my membership. I sent an Email to their Corporate and one week later still have not heard from them. They are Liars and Cheats. DO Not GO to These people - after being a member for 27 years, they WILL NOT WORK WITH YOU! They should be sued for FRAUD.",negative
"This has been my gym for the past 2 years, it is a nice location with nice equipment and pleasant staff. There is always room to work out on whatever equipment you desire and the price is very reasonable as well.",positive
"I have been to my fair share of 24 Hour Fitness locations around the country and this is on the upper side of them. What's great about this particular location is that the clientele isn't uppity and this isn't a social scene (ahem LA Fitness). People come here to work hard and get it done. It's a clean facility and very no nonsense. You won;t find tv screen on each cardio machine here but everything works well. The group classes are great Just get there early enough to sign up and get a bright orange or pink slip to secure your place. I would recommend the Body Pump class on Thursday evenings...the instructor is fantastic at keeping you moving and keeping the class fun while being SO nice. The trainers here are really helpful and constantly offering small tips to help you with your workout such as: you will get better movement if you push your seat back a little or push your elbows in a little closer, etc. or a simple how's your workout going today?I appreciate it because sometimes I have no clue what I'm doing and I'm glad that the employees are friendly enough to stop by and help out. I did a personal training session with Adrian and I must say, if you are looking for a great workout from a very motivational trainer, you should sign up to see Adrian today. He definitely understands fitness and is constantly encouraging and helpful.",positive
