Reviews,Label
"One of the best barbershops I've been to, with great prices. I honestly couldn't be happier with the love that comes out of this place, the environment is quite amazing and comfortable. I remember the day I found this place, they've been a success with my cuts since day 1. Thank you.",positive
Took my son in for a haircut. Barber was great he did exactly what I wanted. Very clean cut will definitely be coming in more often.,positive
"Walked in, said hi. The only barber in there did not have a courtesy to say hi back. He was too busy watching the soccer game while cutting the hair. Stood in front of the reception desk for few minutes. Nothing. Left and will not be back.",negative
I came here 10 minutes before 9am to get a haircut. They are open at 9am on Saturday's according to their hours of operation. It is now 9:15 and I left because no one showed up. There was 5 other people waiting as well and they didn't seem too happy either. I am in search of a new Barber but it definitely will not be here.,negative
"Great haircut. No fuss no muss, I asked for layers and ""V"" shape to the back. Exactly what I ordered. And the price? Awesome! Under $20 for a haircut? You can't beat it. I will be returning to this salon.",positive
"Love this place great atmosphere and energy. Very convenient place I can get everything in one stop from an outfit and accessories to mani, pedi and hair a true one stop salon. I will recommend to any one.",positive
Loved this salon. It is very clean an smells good all the clients walking out had beautiful hair. I was really pleased with my stylist Tammi Mitchell. Lots of great deals. I will definitely be back,positive
"I will never recommend this business to anyone. The owner, Lidia, was so rude and unprofessional. She belittled me and wasn't even interested in taking my name. I suppose what you look like is all that matters to her, not the money in your pocket.",negative
"I bought a Groupon from Sandra Lynn Rosendin for a mani-pedi, not realizing how far this salon was from The Strip. I actually spent more in Uber transport to the appointment than I spent on the Groupon. I was glad I hadn't done the bus--as I had planned. Too far! BUT...Sandra Lynn did a great job, and, really, no regrets. She took good care of me, and if I were a local, I would be there every week, asking S.L. to continue my great mani-pedi care. She was busy, on New Year's Eve day, and took me at 12:30pm because she had a cancellation. She had been willing to stay late to honor my Groupon--even on a holiday, even knowing I wasn't a local, and thus a repeat customer. Now, that's kindness, AND good service. Thank you Sandra Lynn! You made my day. I cannot say enough: CALL SANDRA Lynn. She will do an awesome job and has a sunny attitude. They offer a first time discount at this salon, so why not give it a try.",positive
Ester is fabulous with hair. She colors and nourishes your hair with so much care. You leave there wanting to keep running your fingers through it. I love my hair!!!! Ester is the BEST!!!!,positive
Oh my gosh....I had to post. I love my hair extensions! Thank you...the lady who did them was Ester. She was awesome. I can't wait to show my boyfriend :) I called and got prices from many salons and this one was the best for what you get. It was on W Sahara...a little out of my way because I live in Green Valley but worth the drive.,positive
"I love this place! My hairdresser Ester is the Best! She has done my 20"" extensions for over 3 years and this salon is great. The owners are accessible and down to earth. They love their clients and we LOVE them!",positive
First time at Adore and a I had a great experience. Cheryl did an awesome job. I got my haircut exactly the way I wanted. She is an excellent hairstylist. I totally recommend this place.,positive
"Risa is the best stylist ever!! I have difficult curly hair and Risa was really good about making it look great. She is attentive, works well with you in reaching hair goals like getting dead hair to a healthier state. TOTALLY going to her again. XD",positive
"First time here at Adore. It has a great atmosphere and the service is prompt and courteous. Jen Lewis is the stylist that cut my hair. She has a great eye and makes sure that the style you ask for will really work for your face shape and style. Jen is very meticulous, creating exactly the look you want. I would recommend her to anyone needing a new stylist in the Las Vegas area!",positive
Loved coming here to get my weekly haircut with my barber UNTIL they suddenly closed it down. Worst part is I was told via text! I can understand a text appointment reminder or even text cancelation but to tell me the barbershop is closing down and my barber is no long with the company is in bad taste 100%. I had higher expectations for this place.,negative
"The staff was incredibly nice and the location is beautiful. I was disappointed, however, because they did two spray tans and neither was what I was looking for. The second appointment was to correct the first but it still didn't come out. People kept asking me when I was going to get a tan bc you couldn't really tell a difference at all. I was bummed with the results.",negative
"I go to Charissa at Altered Ego and I am always satisfied with the results. I am the kind of person who has an idea of what i want when i go in, but im not always sure how it will look. She does a terrific job of taking a little guidance and running with it and she is not afraid to give her opinion or give you something to consider when you are trying something new. I love love love my cut and color! Thanks Charissa! P.S. it doesn't hurt there is a cute little coffee shop literally within 100 feet of the salon. That can be a life-saver!",positive
"Sat at the salon for an hour arguing with the stylist on what I wanted(had a picture). Then she tells me that they didn't book enough time for me to get anything done past a hair cut..I wanted a cut and balayage. When I booked I was told I was the last appt for her so she would have plenty of time and I overly explained to whoever booked the appt, that I had a lot of hair(just thick)and needed time. I understand that when it comes to color, it might take a session or two. But the whole reason I went to this place was because the last salon I talked to said that they were going to charge me $300 for what I wanted done which I know is bogus because I'm cutting off half of my hair and I'm not coloring my whole head! I went completely blonde for $150!! And it was perfect! So I tried this place and turns out they overbooked and underquoted me. I walked out frustrated, upset and will never be back. Unbelievable....if you have a lot of hair, I do not recommend.",negative
"HUGE shout out to Kasondra for rescuing my hair! After a botched balayage-turned-90s highlight job that was done at another salon, I stopped by Altered Ego for a consultation since it was on my way home. When I told the very nice receptionist what had happened, she grabbed Kasondra and Kasondra took her time in telling me how exactly she would fix it and how much it would cost. I booked an appointment for two days later and couldn't be happier with the results. Kasondra is also very sweet and made the entire process comfortable and enjoyable. The atmosphere of the place is also awesome, the decor is really pretty and all of the stylists there seemed to be having a good time and enjoying each other's company. I am so happy to have found my new salon, even if it started from less than ideal circumstances. P.S. The coffee shop is also very good!",positive
